source,requeue_bin,n,wins,mean_kda,mean_damage_per_min,median_gap_min,win_rate,win_rate_ci_low,win_rate_ci_high
EU,<=5m,63200,33188,3.729616637428128,737.1468656536315,4.431725,0.525126582278481,0.5212319393458579,0.5290181708799463
EU,5-10m,145014,75638,3.7976926090294745,728.9641634957303,6.4896,0.521591018798185,0.5190194467356191,0.5241614469875726
EU,10-20m,44332,22916,3.8696551658325866,721.5257679148015,12.860391666666667,0.516917802039159,0.5122648482972195,0.5215678241105705
EU,20-30m,12044,6307,3.9146726589701,731.437161741683,24.2479,0.5236632348057124,0.5147374998267786,0.5325738797218527
EU,30-60m,25520,13141,3.7808295418961078,726.7304952682103,42.5817,0.5149294670846395,0.5087959363121709,0.5210585039463375
EU,1-2h,22070,11452,3.773857523909108,730.670280494706,83.91241666666667,0.5188944268237426,0.5122998720030304,0.525482405338947
EU,2-6h,27087,13950,3.802293942298304,729.8975632269445,196.87663333333333,0.5150071990253627,0.5090537802775404,0.5209563617564675
EU,6-24h,59584,31392,3.894311902895322,723.8824337027149,951.622375,0.5268528464017186,0.5228423365401372,0.5308598940098891
EU,>24h,41060,21497,3.791417142607791,717.7990491327384,3338.8423166666666,0.5235509011203118,0.5187180425492413,0.5283793533906744
KR,<=5m,6865,3622,3.7410656159386932,683.370182884578,4.420716666666666,0.5276037873270211,0.5157820481132306,0.5393946512285926
KR,5-10m,17354,9030,3.7756181169058136,690.8535785041544,6.699533333333333,0.5203411317275556,0.5129045456907665,0.5277687143845081
KR,10-20m,6926,3544,3.8990995897291016,695.2574697835408,12.892958333333333,0.5116950620848975,0.49991963015868546,0.5234575280292262
KR,20-30m,1709,914,3.9436939904903623,716.431388896615,23.78805,0.534815681685196,0.5111161531269652,0.5583590451683471
KR,30-60m,2861,1472,3.779218429822651,690.1827355955995,42.042,0.5145054176861237,0.4961845296206651,0.5327874051942431
KR,1-2h,2382,1251,3.857836272285635,705.5125070537952,83.40976666666667,0.5251889168765743,0.5051107283188309,0.5451859917571608
KR,2-6h,3036,1556,3.8339852802920986,690.3733292944519,197.334475,0.5125164690382081,0.4947319098699911,0.5302693939906004
KR,6-24h,6549,3464,4.039078943739961,691.1064922255011,956.5699333333333,0.5289357153763934,0.5168329574388733,0.5410045474636502
KR,>24h,5841,3057,3.984298190440748,678.3653439271758,3542.7002166666666,0.5233692860811505,0.5105495878529533,0.5361582658884008
NA,<=5m,8138,4250,3.8196712085021107,705.0539316625233,4.3815333333333335,0.5222413369378226,0.5113809144765228,0.533080771719518
NA,5-10m,17845,9336,3.895426874810391,705.0473552977878,6.691533333333333,0.5231717567946204,0.515839430357427,0.5304941090999089
NA,10-20m,6777,3505,3.94074979463621,706.5223103584815,12.909766666666666,0.5171904972701785,0.5052869864189868,0.5290745307194071
NA,20-30m,1610,836,3.8378683727735705,708.4725817427086,23.818883333333332,0.5192546583850932,0.49483261698209047,0.5435850352978964
NA,30-60m,2824,1417,3.8453442045858934,710.9638392869177,42.644149999999996,0.501770538243626,0.4833397238541891,0.5201965422857698
NA,1-2h,2419,1265,3.925600687352323,697.8602041191375,84.08883333333333,0.5229433650268706,0.5030186441438246,0.5427953316720048
NA,2-6h,2969,1566,3.789848622716195,702.156915825088,197.83985,0.5274503199730549,0.5094684392566949,0.5453612589488263
NA,6-24h,7355,3908,3.960274327521972,706.4175803880364,994.9871333333333,0.5313392250169953,0.5199214423702829,0.5427242882898635
NA,>24h,6808,3527,3.766931994201815,708.4124453587941,3715.3127416666666,0.5180669800235017,0.5061908476627593,0.5299227350574393
